age_group,division,event_id,event_name,gender,name,nationality,roxzone_time,run1_time,run2_time,run3_time,run4_time,run5_time,run6_time,run7_time,run8_time,run_time,total_time,skiErg_time,sledPush_time,sledPull_time,burpeeBroadJump_time,rowErg_time,farmersCarry_time,sandbagLunges_time,wallBalls_time,work_time
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Hogenbirk, Brigitte",NED,6.266666666666667,3.95,5.416666666666667,5.566666666666666,5.8,5.966666666666667,5.783333333333333,5.583333333333333,5.933333333333334,43.95,83.91666666666667,4.75,1.8666666666666667,5.2,5.65,5.383333333333334,2.5,4.033333333333333,4.383333333333334,33.766666666666666
16-24,open,JGDMS4JI8B2,2024 Amsterdam,female,"Hermsen, Diann",NED,5.5,4.4,6.15,6.65,6.466666666666667,6.4,6.1,6.1,6.533333333333333,48.71666666666667,84.01666666666667,4.533333333333333,1.6166666666666667,3.816666666666667,4.933333333333334,4.766666666666667,1.75,4.516666666666667,3.9166666666666665,29.85
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Kruk, Marta",POL,5.45,4.233333333333333,5.833333333333333,5.866666666666666,6.216666666666667,6.183333333333334,6.0,5.916666666666667,6.316666666666666,46.516666666666666,84.05,5.366666666666666,2.283333333333333,4.95,4.35,5.633333333333334,1.7833333333333334,3.8833333333333333,3.9,32.15
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Lakeman, Monique",NED,5.833333333333333,5.983333333333333,5.5,5.45,5.566666666666666,6.0,5.883333333333334,5.616666666666666,6.116666666666666,46.03333333333333,84.11666666666666,4.766666666666667,1.8666666666666667,4.016666666666667,5.883333333333334,5.066666666666666,2.066666666666667,4.516666666666667,4.133333333333334,32.31666666666667
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Van Meeteren, Wilja",NED,6.266666666666667,4.033333333333333,5.7,5.683333333333334,5.933333333333334,6.016666666666667,5.6,5.316666666666666,5.8,44.05,84.2,5.25,1.8166666666666667,4.166666666666667,7.216666666666667,5.333333333333333,1.8333333333333333,4.4,3.933333333333333,33.95
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Lap, Marloes",NED,5.6,4.033333333333333,5.6,5.633333333333334,5.55,5.783333333333333,5.733333333333333,5.75,6.233333333333333,44.266666666666666,84.68333333333334,5.05,2.283333333333333,4.5,4.666666666666667,5.466666666666667,2.1333333333333333,5.116666666666666,5.666666666666667,34.88333333333333
25-29,open,JGDMS4JI8B2,2024 Amsterdam,female,"Schweiggart, Franziska",GER,6.866666666666666,3.9,5.45,5.566666666666666,5.283333333333333,5.583333333333333,5.316666666666666,5.316666666666666,6.25,42.61666666666667,84.96666666666667,5.0,1.9666666666666666,4.983333333333333,5.516666666666667,5.033333333333333,1.75,5.166666666666667,6.166666666666667,35.583333333333336
45-49,open,JGDMS4JI8B2,2024 Amsterdam,female,"Van Berckel, Sophie",NED,5.083333333333333,3.6166666666666667,4.8,4.8,4.85,4.916666666666667,4.916666666666667,4.783333333333333,5.1,37.71666666666667,85.16666666666667,5.366666666666666,2.6166666666666667,7.116666666666666,8.266666666666667,5.483333333333333,2.216666666666667,3.5166666666666666,7.866666666666666,42.45
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Trul, Ingeborg",NED,5.433333333333334,3.8666666666666667,5.266666666666667,5.4,5.5,5.583333333333333,5.45,5.5,6.083333333333333,42.61666666666667,85.53333333333333,5.233333333333333,1.8666666666666667,4.55,6.283333333333333,4.966666666666667,2.85,4.733333333333333,7.05,37.53333333333333
30-34,open,JGDMS4JI8B2,2024 Amsterdam,female,"Araujo Pereira, Jasminda",CPV,5.9,3.7333333333333334,5.6,5.683333333333334,5.833333333333333,5.966666666666667,5.683333333333334,5.666666666666667,6.45,44.55,85.55,5.3,2.4,4.833333333333333,6.133333333333334,5.466666666666667,2.25,3.8,5.0,35.18333333333333
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Monahan, Marcella",IRL,4.05,2.8666666666666667,4.366666666666666,4.483333333333333,4.583333333333333,4.566666666666666,4.583333333333333,4.466666666666667,4.583333333333333,34.46666666666667,63.71666666666667,4.733333333333333,2.183333333333333,3.35,2.9,4.9,1.3666666666666667,2.55,3.2666666666666666,25.25
45-49,open,JGDMS4JI8B2,2024 Amsterdam,female,"Fleischer, Inger Reidun",NOR,4.616666666666666,3.2333333333333334,4.45,4.733333333333333,4.783333333333333,4.883333333333334,4.8,4.7,4.983333333333333,36.516666666666666,68.05,4.3,2.0,4.15,3.3666666666666667,4.833333333333333,1.5,3.283333333333333,3.55,26.983333333333334
